generator,acc,alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,ap,auc,beta,description,f_acc,family,fnr,fpr,gamma,parameter,r_acc,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,target_labels_used_for_selection,threshold,tile_scale,value,variant
progan,99.9875,0.0,0.25,0.4,0.1875,0.3,0.75,99.99999375156212,99.99999375,0.0625,Tile artifact beta scale.,100.0,one_factor_compact,0.0,0.024999999999991473,0.21,beta_scale,99.97500000000001,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
stable_diffusion_v_1_4,90.3,0.0,0.25,0.4,0.1875,0.3,0.75,98.7109040923889,98.69943611111111,0.0625,Tile artifact beta scale.,81.46666666666667,one_factor_compact,18.53333333333333,0.8666666666666742,0.21,beta_scale,99.13333333333333,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
stable_diffusion_v_1_5,90.50625,0.0,0.25,0.4,0.1875,0.3,0.75,98.8454922033418,98.758165625,0.0625,Tile artifact beta scale.,81.85,one_factor_compact,18.150000000000006,0.8375000000000057,0.21,beta_scale,99.1625,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
stargan,99.87493746873437,0.0,0.25,0.4,0.1875,0.3,0.75,100.0,100.0,0.0625,Tile artifact beta scale.,100.0,one_factor_compact,0.0,0.25012506253126787,0.21,beta_scale,99.74987493746873,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
stylegan,99.28225671841095,0.0,0.25,0.4,0.1875,0.3,0.75,99.99804423946924,99.99803856455132,0.0625,Tile artifact beta scale.,98.5812051410449,one_factor_compact,1.4187948589550956,0.01669170422300681,0.21,beta_scale,99.983308295777,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
stylegan2,98.8169754631948,0.0,0.25,0.4,0.1875,0.3,0.75,99.99497809521006,99.99495832381523,0.0625,Tile artifact beta scale.,97.65898848272408,one_factor_compact,2.3410115172759163,0.025037556334510214,0.21,beta_scale,99.97496244366549,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
whichfaceisreal,88.4,0.0,0.25,0.4,0.1875,0.3,0.75,96.48785758170295,95.9845,0.0625,Tile artifact beta scale.,86.2,one_factor_compact,13.799999999999997,9.399999999999991,0.21,beta_scale,90.60000000000001,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
wukong,84.2,0.0,0.25,0.4,0.1875,0.3,0.75,97.69372576460518,97.62048611111112,0.0625,Tile artifact beta scale.,69.51666666666667,one_factor_compact,30.483333333333334,1.11666666666666,0.21,beta_scale,98.88333333333334,1.0,none,1.0,1.0,False,0.5,0.25,0.25,B0_beta_scale_0p25
ADM,96.58333333333333,0.0,0.25,0.4,0.1875,0.3,0.5,99.65615680969768,99.62868611111111,0.125,Tile artifact beta scale.,94.5,one_factor_compact,5.5,1.3333333333333286,0.21,beta_scale,98.66666666666667,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
DALLE2,98.35000000000001,0.0,0.25,0.4,0.1875,0.3,0.5,99.87085633143059,99.8542,0.125,Tile artifact beta scale.,98.6,one_factor_compact,1.4000000000000057,1.9000000000000057,0.21,beta_scale,98.1,1.0,none,1.0,1.0,False,0.5,0.5,0.5,B0_beta_scale_0p50
