alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,biggan_r_acc,description,diffusion_text_f_acc,family,gamma,gan_face_translation_acc,gaugan_r_acc,parameter,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,tail_f_acc,target_labels_used_for_selection,threshold,tile_scale,value,variant
0.0,0.0625,0.4,0.1875,0.3,0.75,0.25,79.35,High-resolution semantic negative guard alpha.,92.01712962962962,one_factor_alpha_split,0.21,94.47217128151101,65.66,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,91.22569444444444,False,0.5,1.0,0.25,AS3_alpha_high_neg_guard_scale_0p25
0.0,0.125,0.4,0.1875,0.3,0.5,0.25,79.35,High-resolution semantic negative guard alpha.,92.01527777777777,one_factor_alpha_split,0.21,94.528421281511,65.66,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,91.22291666666666,False,0.5,1.0,0.5,AS3_alpha_high_neg_guard_scale_0p50
0.0,0.1875,0.4,0.1875,0.3,0.25,0.25,79.35,High-resolution semantic negative guard alpha.,92.01342592592592,one_factor_alpha_split,0.21,94.578421281511,65.66,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,91.22013888888888,False,0.5,1.0,0.75,AS3_alpha_high_neg_guard_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,79.35,High-resolution semantic negative guard alpha.,92.01157407407408,one_factor_alpha_split,0.21,94.634671281511,65.66,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,91.21736111111112,False,0.5,1.0,1.0,AS3_alpha_high_neg_guard_scale_1p00
0.0,0.3125,0.4,0.1875,0.3,0.25,0.25,79.35,High-resolution semantic negative guard alpha.,92.00972222222222,one_factor_alpha_split,0.21,94.68467128151102,65.66,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,91.21458333333332,False,0.5,1.0,1.25,AS3_alpha_high_neg_guard_scale_1p25
0.0,0.375,0.4,0.1875,0.3,0.5,0.25,79.35,High-resolution semantic negative guard alpha.,92.00601851851852,one_factor_alpha_split,0.21,94.740921281511,65.66,alpha_high_neg_guard_scale,1.0,none,1.0,1.0,91.20902777777776,False,0.5,1.0,1.5,AS3_alpha_high_neg_guard_scale_1p50
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,79.35,High-resolution semantic negative alpha direct value.,92.01157407407408,one_factor_alpha_split,0.21,94.634671281511,65.66,alpha_high_neg_direct,1.0,none,1.0,1.0,91.21736111111112,False,0.5,1.0,0.0,AS4_alpha_high_neg_direct_0p00
0.02,0.25,0.4,0.1875,0.3,0.08,0.25,79.35,High-resolution semantic negative alpha direct value.,91.9375,one_factor_alpha_split,0.21,94.653421281511,65.66,alpha_high_neg_direct,1.0,none,1.0,1.0,91.11458333333333,False,0.5,1.0,0.02,AS4_alpha_high_neg_direct_0p02
0.05,0.25,0.4,0.1875,0.3,0.2,0.25,79.35,High-resolution semantic negative alpha direct value.,91.80601851851853,one_factor_alpha_split,0.21,94.678421281511,65.66,alpha_high_neg_direct,1.0,none,1.0,1.0,90.92569444444445,False,0.5,1.0,0.05,AS4_alpha_high_neg_direct_0p05
0.1,0.25,0.4,0.1875,0.3,0.4,0.25,79.35,High-resolution semantic negative alpha direct value.,91.46157407407406,one_factor_alpha_split,0.21,94.728421281511,65.66,alpha_high_neg_direct,1.0,none,1.0,1.0,90.45069444444444,False,0.5,1.0,0.1,AS4_alpha_high_neg_direct_0p10
0.15,0.25,0.4,0.1875,0.3,0.6,0.25,79.35,High-resolution semantic negative alpha direct value.,90.97268518518518,one_factor_alpha_split,0.21,94.759671281511,65.66,alpha_high_neg_direct,1.0,none,1.0,1.0,89.77569444444443,False,0.5,1.0,0.15,AS4_alpha_high_neg_direct_0p15
0.2,0.25,0.4,0.1875,0.3,0.8,0.25,79.35,High-resolution semantic negative alpha direct value.,90.40787037037036,one_factor_alpha_split,0.21,94.75342128151101,65.66,alpha_high_neg_direct,1.0,none,1.0,1.0,89.00347222222221,False,0.5,1.0,0.2,AS4_alpha_high_neg_direct_0p20
0.0,0.25,0.4,0.1875,0.3,1.0,0.0,79.95,Drop tile artifact beta contribution.,88.1175925925926,drop_weight,0.21,94.44650872517651,67.2,D0_no_tile_weight,1.0,none,1.0,1.0,85.83194444444445,False,0.5,0.0,0.0,D0_no_tile_weight
0.0,0.25,0.0,0.1875,0.0,2.0,0.25,79.55,Drop semantic positive contribution.,91.26898148148148,drop_weight,0.21,91.61537361916344,66.60000000000001,D1_no_semantic_pos_weight,1.0,none,1.0,0.0,89.97458333333333,False,0.5,1.0,0.0,D1_no_semantic_pos_weight
0.0,0.0,0.4,0.0,0.3,2.0,0.25,56.65,Drop semantic negative contribution.,96.71527777777777,drop_weight,0.21,90.57363363663802,40.5,D2_no_semantic_neg_weight,1.0,none,0.0,1.0,96.22569444444446,False,0.5,1.0,0.0,D2_no_semantic_neg_weight
0.0,0.0,0.0,0.0,0.0,4.0,0.25,56.85,Drop all semantic contribution.,95.97268518518518,drop_weight,0.21,87.55433597429044,41.44,D3_no_semantic_weight,1.0,none,0.0,0.0,94.98291666666667,False,0.5,1.0,0.0,D3_no_semantic_weight
0.0,0.25,0.4,0.1875,0.3,1.0,0.25,85.1,Drop residual gamma contribution.,78.74166666666666,drop_weight,0.0,94.73845718751795,71.38,D4_no_residual_weight,0.0,none,1.0,1.0,73.83694444444444,False,0.5,1.0,0.0,D4_no_residual_weight
