accepted,alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,fake_brier,fake_logloss,fake_margin,gamma,real_brier,real_logloss,real_margin,residual_scale,semantic_neg_scale,semantic_pos_scale,source_ap,source_auc,source_ba,source_brier,source_flip_rate,source_logloss,source_margin,source_mean_score_drift,target_labels_used_for_selection,tile_scale,variant
False,0.0,0.15000000000000002,0.2,0.11249999999999999,0.15,0.75,0.15000000000000002,0.0008456207928025368,0.014800446633555618,4.795415902248397,0.09,0.002391099798985223,0.031392207333184464,3.9268889386206864,0.75,0.75,1.0,99.99999100059959,99.999991,99.985,0.0016183602958938796,0.0001,0.02309632698337004,4.361152420434542,0.009384430013597012,False,0.75,b0p75_sp1p00_sn0p75_g0p75
False,0.0,0.15000000000000002,0.2,0.11249999999999999,0.15,0.5,0.15000000000000002,0.0006206201954860248,0.011292816151146677,5.149012895733863,0.12,0.0015970471140445812,0.024047888427593648,4.2500070150859655,1.0,0.75,1.0,99.99999600089974,99.999996,99.985,0.0011088336547653028,0.0001,0.017670352289370164,4.699509955409915,0.004252130631357431,False,0.75,b0p75_sp1p00_sn0p75_g1p00
False,0.0,0.15000000000000002,0.2,0.11249999999999999,0.15,0.75,0.15000000000000002,0.00048612266976948566,0.008777966665540255,5.502609777230024,0.15,0.0011093949877774463,0.01864166715117531,4.57312507247515,1.25,0.75,1.0,100.0,100.0,99.995,0.0007977588287734658,0.0,0.01370981690835778,5.037867424852587,0.0026377735193818808,False,0.75,b0p75_sp1p00_sn0p75_g1p25
False,0.0,0.15000000000000002,0.2,0.11249999999999999,0.15,1.0,0.15000000000000002,0.0004026500652744133,0.006961901135059017,5.856206823391467,0.18,0.0008038438058374025,0.014641117467646415,4.896243149571121,1.5,0.75,1.0,100.0,100.0,99.995,0.0006032469355559078,0.0,0.010801509301352718,5.376224986481294,0.0033624626230448484,False,0.75,b0p75_sp1p00_sn0p75_g1p50
False,0.0,0.15000000000000002,0.2,0.11249999999999999,0.15,1.25,0.15000000000000002,0.0003485830248360735,0.005638962335132879,6.209803393375873,0.21,0.0006072600488055766,0.011660175774037284,5.21936118810866,1.75,0.75,1.0,100.0,100.0,99.995,0.000477921536820825,0.0,0.00864956905458508,5.714582290742267,0.00495778676122427,False,0.75,b0p75_sp1p00_sn0p75_g1p75
False,0.0,0.15000000000000002,0.2,0.11249999999999999,0.15,1.5,0.15000000000000002,0.0003120771767128634,0.004665633927848127,6.563400599473715,0.24,0.0004770166961451258,0.009420626896752602,5.542479245529696,2.0,0.75,1.0,100.0,100.0,99.995,0.0003945469364289946,0.0,0.007043130412300364,6.0529399225017055,0.0063569205813109875,False,0.75,b0p75_sp1p00_sn0p75_g2p00
False,0.0,0.2,0.2,0.15,0.15,0.5,0.15000000000000002,0.0008463907433688995,0.014804096681227992,4.795383777752892,0.09,0.0011619391072546935,0.020049185253152444,4.419452105306089,0.75,1.0,1.0,99.99999700039992,99.999997,99.99000000000001,0.0010041649253117963,5e-05,0.017426640967190217,4.60741794152949,0.0040796068497002125,False,0.75,b0p75_sp1p00_sn1p00_g0p75
False,0.0,0.2,0.2,0.15,0.15,0.25,0.15000000000000002,0.0006210035379386231,0.01129533292641625,5.148980771166832,0.12,0.0007851973010456548,0.015374162141477077,4.742570145016163,1.0,1.0,1.0,99.99999900009999,99.99999899999999,99.995,0.0007031004194921391,0.0,0.013334747533946662,4.945775458091497,0.00023507597506977618,False,0.75,b0p75_sp1p00_sn1p00_g1p00
False,0.0,0.2,0.2,0.15,0.15,0.5,0.15000000000000002,0.000486305918162207,0.008779679478150242,5.5025776524245735,0.15,0.0005548388237954269,0.01194213471442986,5.065688219697401,1.25,1.0,1.0,100.0,100.0,99.995,0.000520572370978817,0.0,0.010360907096290051,5.284132936060987,0.002754610264673829,False,0.75,b0p75_sp1p00_sn1p00_g1p25
False,0.0,0.2,0.2,0.15,0.15,0.75,0.15000000000000002,0.00040273517531270217,0.0069630561145459695,5.856174699086696,0.18,0.000410163462268057,0.009405865545859135,5.388806275944412,1.5,1.0,1.0,100.0,100.0,99.995,0.00040644931879037964,0.0,0.008184460830202554,5.622490487515554,0.004872607532888651,False,0.75,b0p75_sp1p00_sn1p00_g1p50
False,0.0,0.2,0.2,0.15,0.15,1.0,0.15000000000000002,0.0003486217744312668,0.005639736246951404,6.209771269118786,0.21,0.0003164752782637313,0.007516542435894844,5.711924356512166,1.75,1.0,1.0,100.0,100.0,99.995,0.00033254852634749906,0.0,0.006578139341423124,5.9608478128154765,0.006450379732996225,False,0.75,b0p75_sp1p00_sn1p00_g1p75
True,0.0,0.2,0.2,0.15,0.15,1.25,0.15000000000000002,0.00031209458129391655,0.004666150275846383,6.563368475860357,0.24,0.00025388939899950247,0.006096388335045178,6.035042408300564,2.0,1.0,1.0,100.0,100.0,99.995,0.0002829919901467095,0.0,0.005381269305445781,6.299205442080461,0.007634176407009363,False,0.75,b0p75_sp1p00_sn1p00_g2p00
False,0.0,0.25,0.2,0.1875,0.15,0.75,0.15000000000000002,0.0008473822560355821,0.014808266772707896,4.795351653257385,0.09,0.0005919196782840793,0.012884280741574014,4.912015254733153,0.75,1.25,1.0,99.99999900009999,99.99999899999999,99.995,0.0007196509671598307,0.0,0.013846273757140955,4.853683453995269,0.0032053294125944376,False,0.75,b0p75_sp1p00_sn1p25_g0p75
False,0.0,0.25,0.2,0.1875,0.15,0.5,0.15000000000000002,0.0006215077224978046,0.01129822708547915,5.148948646838218,0.12,0.000409688862799264,0.009906329669351413,5.235133314631879,1.0,1.25,1.0,99.99999900009999,99.99999899999999,99.995,0.0005155982926485343,0.0,0.010602278377415283,5.192040980735048,0.0028646693099290133,False,0.75,b0p75_sp1p00_sn1p25_g1p00
False,0.0,0.25,0.2,0.1875,0.15,0.75,0.15000000000000002,0.0004865506373138039,0.008781658307712678,5.502545528167486,0.15,0.00029745717134890695,0.007721896239726823,5.55825138377361,1.25,1.25,1.0,100.0,100.0,99.995,0.00039200390433135544,0.0,0.008251777273719748,5.530398455970548,0.004788631107658148,False,0.75,b0p75_sp1p00_sn1p25_g1p25
