generator,acc,ap,auc,f_acc,fnr,fpr,r_acc,variant,variant_name
Midjourney,62.875,96.1679409328917,95.79443055555555,25.8,74.2,0.04999999999999716,99.95,AF9_spectrum_only,Spectrum only
VQDM,71.90833333333333,97.39936337771464,97.25414722222222,43.96666666666667,56.03333333333333,0.14999999999999147,99.85000000000001,AF9_spectrum_only,Spectrum only
biggan,94.175,98.97715725854005,98.87415,89.64999999999999,10.350000000000009,1.2999999999999972,98.7,AF9_spectrum_only,Spectrum only
coco_sdxl_nw,83.35000000000001,99.059432443299,99.03605,66.85,33.150000000000006,0.14999999999999147,99.85000000000001,AF9_spectrum_only,Spectrum only
cyclegan,94.13323239969719,99.63686506752232,99.6524436961653,88.79636638909916,11.203633610900837,0.5299015897047781,99.47009841029522,AF9_spectrum_only,Spectrum only
gaugan,97.96000000000001,99.70697858283954,99.749788,99.1,0.9000000000000057,3.180000000000007,96.82,AF9_spectrum_only,Spectrum only
progan,99.9375,99.99999375156212,99.99999375,99.875,0.125,0.0,100.0,AF9_spectrum_only,Spectrum only
stable_diffusion_v_1_4,71.85833333333333,98.33862140191039,98.34584166666667,43.85,56.15,0.13333333333332575,99.86666666666667,AF9_spectrum_only,Spectrum only
stable_diffusion_v_1_5,72.15625,98.46617090405144,98.4074125,44.425,55.575,0.11250000000001137,99.88749999999999,AF9_spectrum_only,Spectrum only
stargan,100.0,100.0,100.0,100.0,0.0,0.0,100.0,AF9_spectrum_only,Spectrum only
stylegan,91.96294441662494,99.96305271612025,99.95881821396759,83.92588883324987,16.07411116675013,0.0,100.0,AF9_spectrum_only,Spectrum only
stylegan2,88.83950926389585,99.98868580880368,99.98870206912773,77.67901852779168,22.320981472208317,0.0,100.0,AF9_spectrum_only,Spectrum only
whichfaceisreal,81.85,95.98079025599198,95.23509999999999,64.1,35.900000000000006,0.4000000000000057,99.6,AF9_spectrum_only,Spectrum only
wukong,65.33333333333333,96.52494157888589,96.49797777777778,30.766666666666666,69.23333333333333,0.09999999999999432,99.9,AF9_spectrum_only,Spectrum only
